0 10 1 1 0 0
26 10 1 1 0 0
63 10 1 1 0 0
96 10 1 1 0 0
126 10 1 1 0 0
149 10 1 1 0 0
170 10 1 1 0 0
194 10 1 1 0 0
217 10 1 1 0 0
241 10 1 1 0 0
267 10 1 1 0 0
294 10 1 1 0 0
324 10 1 1 0 0
351 10 1 1 0 0
378 10 1 1 0 0
401 10 1 1 0 0
422 10 1 1 0 0
444 10 1 1 0 0
456 10 1 1 0 0
477 10 1 1 0 0
497 10 1 1 0 0
511 10 1 1 0 0
529 10 1 1 0 0
543 10 1 1 0 0
557 10 1 1 0 0
574 10 1 1 0 0
591 10 1 1 0 0
609 10 1 1 0 0
622 10 1 1 0 0
634 10 1 1 0 0
652 10 1 1 0 0
663 10 1 1 0 0
680 10 1 1 0 0
699 10 1 1 0 0
714 10 1 1 0 0
719 10 1 1 0 0
735 10 1 1 0 0
740 10 1 1 0 0
752 10 1 1 0 0
759 10 1 1 0 0
767 10 1 1 0 0
778 10 1 1 0 0
792 10 1 1 0 0
800 10 1 1 0 0
806 10 1 1 0 0
821 10 1 1 0 0
829 10 1 1 0 0
842 10 1 1 0 0
854 10 1 1 0 0
862 10 1 1 0 0
871 10 1 1 0 0
877 10 1 1 0 0
882 10 1 1 0 0
887 10 1 1 0 0
892 10 1 1 0 0
901 10 1 1 0 0
906 10 1 1 0 0
915 10 1 1 0 0
918 10 1 1 0 0
924 10 1 1 0 0
929 10 1 1 0 0
937 10 1 1 0 0
943 10 1 1 0 0
952 10 1 1 0 0
954 10 1 1 0 0
958 10 1 1 0 0
962 10 1 1 0 0
971 10 1 1 0 0
975 10 1 1 0 0
979 10 1 1 0 0
985 10 1 1 0 0
989 10 1 1 0 0
994 10 1 1 0 0
995 10 1 1 0 0
999 10 1 1 0 0
1001 10 1 1 0 0
1007 10 1 1 0 0
1014 10 1 1 0 0
1018 10 1 1 0 0
1027 10 1 1 0 0
1031 10 1 1 0 0
1036 10 1 1 0 0
1041 10 1 1 0 0
1049 10 1 1 0 0
1057 10 1 1 0 0
1065 10 1 1 0 0
1070 10 1 1 0 0
1075 10 1 1 0 0
1083 10 1 1 0 0
1086 10 1 1 0 0
1091 10 1 1 0 0
1096 10 1 1 0 0
1102 10 1 1 0 0
1103 10 1 1 0 0
1103 10 1 1 0 0
1111 10 1 1 0 0
1117 10 1 1 0 0
1122 10 1 1 0 0
1130 10 1 1 0 0
1133 10 1 1 0 0
1137 10 1 1 0 0
1142 10 1 1 0 0
1150 10 1 1 0 0
1155 10 1 1 0 0
1156 10 1 1 0 0
1159 10 1 1 0 0
1168 10 1 1 0 0
1175 10 1 1 0 0
1182 10 1 1 0 0
1186 10 1 1 0 0
1187 10 1 1 0 0
1194 10 1 1 0 0
1199 10 1 1 0 0
1202 10 1 1 0 0
1209 10 1 1 0 0
1214 10 1 1 0 0
1216 10 1 1 0 0
1218 10 1 1 0 0
1226 10 1 1 0 0
1230 10 1 1 0 0
1237 10 1 1 0 0
1244 10 1 1 0 0
1250 10 1 1 0 0
1262 10 1 1 0 0
1267 10 1 1 0 0
1277 10 1 1 0 0
1286 10 1 1 0 0
1294 10 1 1 0 0
1300 10 1 1 0 0
1310 10 1 1 0 0
1316 10 1 1 0 0
1319 10 1 1 0 0
1326 10 1 1 0 0
